"","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01"
"Georgia",8186653,8200203,8213753,8227303,8239781,8252259,8264737,8277215,8289693,8302170,8314648,8327126,8339604,8352082,8364560,8377038,8387973,8398908,8409842,8420777,8431712,8442647,8453582,8464517,8475452,8486386,8497321,8508256,8517801,8527346,8536890,8546435,8555980,8565524,8575069,8584614,8594159,8603704,8613248,8622793,8634998,8647203,8659408,8671613,8683818,8696022,8708227,8720432,8732637,8744842,8757047,8769252,8782308,8795364,8808420,8821475,8834531,8847587,8860643,8873699,8886754,8899810,8912866,8925922,8945080,8964237,8983395,9002552,9021710,9040868,9060025,9079183,9098340,9117498,9136655,9155813,9171994,9188176,9204357,9220538,9236719,9252900,9269082,9285263,9301444,9317626,9333807,9349988,9362893,9375797,9388702,9401606,9414511,9427416,9440320,9453225,9466129,9479034,9491938,9504843,9514510,9524177,9533844,9543511,9553178,9562844,9572511,9582178,9591845,9601512,9611179,9620846,9628269,9635692,9643115,9650538,9657961,9665384,9672807,9680230,9687653,9695729,9703805,9711881,9719427,9726973,9734518,9742064,9749610,9757156,9764702,9772248,9779794,9787339,9794885,9802431,9810681,9818931,9827181,9835431,9843681,9851930,9860180,9868430,9876680,9884930,9893180,9901430,9907351,9913272,9919192,9925113,9931034,9936954,9942875,9948796,9954717,9960638,9966558,9972479,9980379,9988279,9996179,10004079,10011979,10019878,10027778,10035678,10043578,10051478,10059378,10067278,10076542,10085806,10095070,10104334,10113598,10122862,10132127,10141391,10150655,10159919,10169183,10178447,10188734,10199021,10209308,10219595,10229882,10240168,10250455,10260742,10271029,10281316,10291603,10301890,10310927,10319963,10329000,10338037,10347073,10356110,10365147,10374183,10383220,10392257,10401293,10410330,10418730,10427130,10435530,10443930,10452330,10460730,10469131,10477531,10485931,10494331,10502731,10511131,10519989,10528846,10537704,10546562,10555419,10564277,10573135,10581992,10590850,10599708,10608565,10617423,10617423,10617423,10617423,10617423,10617423,10617423,10617423,10617423,10617423,10617423,10617423,10617423,10617423,10617423,10617423,10617423,10617423
"Hawaii",1211497,1212171,1212845,1213519,1214555,1215590,1216626,1217662,1218698,1219734,1220769,1221805,1222841,1223876,1224912,1225948,1227087,1228226,1229364,1230503,1231642,1232780,1233919,1235058,1236197,1237336,1238474,1239613,1240575,1241536,1242498,1243460,1244422,1245384,1246345,1247307,1248269,1249230,1250192,1251154,1253022,1254890,1256758,1258626,1260494,1262362,1264229,1266097,1267965,1269833,1271701,1273569,1275166,1276762,1278359,1279956,1281552,1283149,1284746,1286342,1287939,1289536,1291132,1292729,1294146,1295563,1296980,1298396,1299813,1301230,1302647,1304064,1305480,1306897,1308314,1309731,1310226,1310722,1311217,1311712,1312208,1312703,1313198,1313694,1314189,1314684,1315180,1315675,1317053,1318431,1319810,1321188,1322566,1323944,1325322,1326700,1328078,1329457,1330835,1332213,1333422,1334630,1335839,1337048,1338256,1339465,1340674,1341882,1343091,1344300,1345508,1346717,1348226,1349736,1351245,1352754,1354264,1355773,1357282,1358792,1360301,1361522,1362742,1363963,1365244,1366524,1367804,1369085,1370366,1371646,1372926,1374207,1375488,1376768,1378048,1379329,1380619,1381908,1383198,1384487,1385777,1387066,1388356,1389646,1390935,1392225,1393514,1394804,1395924,1397044,1398164,1399284,1400404,1401524,1402643,1403763,1404883,1406003,1407123,1408243,1408768,1409292,1409817,1410341,1410866,1411390,1411915,1412440,1412964,1413489,1414013,1414538,1415164,1415790,1416416,1417043,1417669,1418295,1418921,1419547,1420174,1420800,1421426,1422052,1422511,1422970,1423429,1423888,1424347,1424806,1425264,1425723,1426182,1426641,1427100,1427559,1427295,1427031,1426768,1426504,1426240,1425976,1425712,1425448,1425184,1424921,1424657,1424393,1424076,1423760,1423443,1423126,1422810,1422493,1422176,1421860,1421543,1421226,1420910,1420593,1420200,1419806,1419413,1419019,1418626,1418232,1417839,1417446,1417052,1416659,1416265,1415872,1415872,1415872,1415872,1415872,1415872,1415872,1415872,1415872,1415872,1415872,1415872,1415872,1415872,1415872,1415872,1415872,1415872
"Idaho",1293957,1295781,1297606,1299430,1301141,1302852,1304563,1306274,1307985,1309696,1311407,1313118,1314829,1316540,1318251,1319962,1321663,1323364,1325064,1326765,1328466,1330167,1331868,1333569,1335270,1336970,1338671,1340372,1342289,1344207,1346124,1348041,1349959,1351876,1353793,1355711,1357628,1359545,1361463,1363380,1365748,1368117,1370486,1372854,1375222,1377591,1379960,1382328,1384696,1387065,1389434,1391802,1394839,1397875,1400912,1403948,1406985,1410022,1413058,1416095,1419131,1422168,1425204,1428241,1431610,1434979,1438348,1441717,1445086,1448455,1451824,1455193,1458562,1461931,1465300,1468669,1471705,1474742,1477778,1480814,1483851,1486887,1489923,1492960,1495996,1499032,1502069,1505105,1507540,1509974,1512409,1514843,1517278,1519712,1522147,1524582,1527016,1529451,1531885,1534320,1535997,1537673,1539350,1541026,1542703,1544380,1546056,1547733,1549409,1551086,1552762,1554439,1555899,1557360,1558820,1560280,1561741,1563201,1564661,1566122,1567582,1568637,1569691,1570746,1571843,1572940,1574037,1575134,1576231,1577328,1578425,1579522,1580619,1581716,1582813,1583910,1584861,1585812,1586764,1587715,1588666,1589617,1590568,1591519,1592470,1593422,1594373,1595324,1596648,1597971,1599294,1600618,1601942,1603265,1604588,1605912,1607236,1608559,1609882,1611206,1612865,1614524,1616182,1617841,1619500,1621159,1622818,1624477,1626136,1627794,1629453,1631112,1632774,1634436,1636099,1637761,1639423,1641086,1642748,1644410,1646072,1647734,1649397,1651059,1653669,1656279,1658889,1661499,1664109,1666720,1669330,1671940,1674550,1677160,1679770,1682380,1685325,1688269,1691214,1694158,1697103,1700048,1702992,1705937,1708881,1711826,1714770,1717715,1720450,1723185,1725920,1728655,1731390,1734126,1736861,1739596,1742331,1745066,1747801,1750536,1753580,1756624,1759668,1762712,1765756,1768800,1771845,1774889,1777933,1780977,1784021,1787065,1787065,1787065,1787065,1787065,1787065,1787065,1787065,1787065,1787065,1787065,1787065,1787065,1787065,1787065,1787065,1787065,1787065
"Illinois",12419927,12424672,12429416,12434161,12438685,12443208,12447732,12452256,12456779,12461303,12465827,12470350,12474874,12479398,12483921,12488445,12491538,12494630,12497723,12500815,12503908,12507000,12510093,12513186,12516278,12519371,12522463,12525556,12528094,12530631,12533168,12535706,12538244,12540781,12543318,12545856,12548394,12550931,12553468,12556006,12558820,12561634,12564448,12567262,12570076,12572890,12575703,12578517,12581331,12584145,12586959,12589773,12591450,12593128,12594806,12596483,12598160,12599838,12601516,12603193,12604870,12606548,12608226,12609903,12612741,12615578,12618416,12621254,12624091,12626929,12629767,12632604,12635442,12638280,12641117,12643955,12648281,12652607,12656933,12661259,12665585,12669910,12674236,12678562,12682888,12687214,12691540,12695866,12700130,12704395,12708659,12712923,12717188,12721452,12725716,12729981,12734245,12738509,12742774,12747038,12751183,12755328,12759473,12763618,12767763,12771908,12776053,12780198,12784343,12788488,12792633,12796778,12800540,12804301,12808063,12811824,12815586,12819347,12823109,12826870,12830632,12833922,12837213,12840503,12842749,12844995,12847241,12849487,12851733,12853978,12856224,12858470,12860716,12862962,12865208,12867454,12868709,12869963,12871218,12872473,12873727,12874982,12876237,12877491,12878746,12880001,12881255,12882510,12883562,12884613,12885665,12886716,12887768,12888820,12889871,12890923,12891974,12893026,12894077,12895129,12894243,12893356,12892470,12891584,12890697,12889811,12888925,12888038,12887152,12886266,12885379,12884493,12882361,12880230,12878098,12875966,12873835,12871703,12869571,12867440,12865308,12863176,12861045,12858913,12855714,12852515,12849316,12846118,12842919,12839720,12836521,12833322,12830124,12826925,12823726,12820527,12817052,12813577,12810102,12806627,12803152,12799678,12796203,12792728,12789253,12785778,12782303,12778828,12774182,12769535,12764889,12760242,12755596,12750950,12746303,12741657,12737010,12732364,12727717,12723071,12718800,12714529,12710258,12705988,12701717,12697446,12693175,12688904,12684634,12680363,12676092,12671821,12671821,12671821,12671821,12671821,12671821,12671821,12671821,12671821,12671821,12671821,12671821,12671821,12671821,12671821,12671821,12671821,12671821
"Indiana",6080827,6084507,6088186,6091866,6094857,6097848,6100840,6103831,6106822,6109813,6112804,6115795,6118786,6121778,6124769,6127760,6130111,6132461,6134812,6137162,6139513,6141864,6144214,6146565,6148915,6151266,6153616,6155967,6159356,6162746,6166135,6169524,6172913,6176302,6179692,6183081,6186470,6189860,6193249,6196638,6199669,6202700,6205730,6208761,6211792,6214822,6217853,6220884,6223915,6226946,6229976,6233007,6236808,6240608,6244409,6248210,6252011,6255812,6259612,6263413,6267214,6271014,6274815,6278616,6283120,6287625,6292129,6296634,6301138,6305642,6310147,6314651,6319156,6323660,6328165,6332669,6336580,6340491,6344402,6348312,6352223,6356134,6360045,6363956,6367866,6371777,6375688,6379599,6383366,6387134,6390901,6394668,6398435,6402202,6405970,6409737,6413504,6417272,6421039,6424806,6427683,6430559,6433436,6436312,6439189,6442066,6444942,6447819,6450695,6453572,6456448,6459325,6462045,6464764,6467484,6470204,6472923,6475643,6478363,6481082,6483802,6486012,6488222,6490432,6492607,6494781,6496956,6499131,6501305,6503480,6505655,6507829,6510004,6512179,6514353,6516528,6518293,6520057,6521822,6523586,6525351,6527116,6528880,6530645,6532409,6534174,6535938,6537703,6540287,6542871,6545456,6548040,6550624,6553208,6555792,6558376,6560960,6563545,6566129,6568713,6570791,6572868,6574946,6577023,6579101,6581178,6583256,6585334,6587411,6589489,6591566,6593644,6594876,6596107,6597338,6598570,6599802,6601033,6602264,6603496,6604728,6605959,6607190,6608422,6610579,6612736,6614892,6617049,6619206,6621363,6623520,6625677,6627834,6629990,6632147,6634304,6636285,6638266,6640248,6642229,6644210,6646191,6648172,6650153,6652134,6654116,6656097,6658078,6661196,6664314,6667433,6670551,6673669,6676788,6679906,6683024,6686142,6689260,6692379,6695497,6698557,6701617,6704678,6707738,6710798,6713858,6716918,6719978,6723038,6726099,6729159,6732219,6732219,6732219,6732219,6732219,6732219,6732219,6732219,6732219,6732219,6732219,6732219,6732219,6732219,6732219,6732219,6732219,6732219
"Iowa",2926538,2927381,2928224,2929067,2929311,2929555,2929800,2930044,2930288,2930532,2930776,2931020,2931264,2931509,2931753,2931997,2932183,2932370,2932556,2932743,2932929,2933116,2933302,2933488,2933675,2933861,2934048,2934234,2934881,2935528,2936175,2936822,2937469,2938116,2938764,2939411,2940058,2940705,2941352,2941999,2942969,2943938,2944908,2945878,2946847,2947817,2948787,2949756,2950726,2951696,2952665,2953635,2954537,2955438,2956340,2957241,2958143,2959044,2959946,2960848,2961749,2962651,2963552,2964454,2965970,2967486,2969002,2970517,2972033,2973549,2975065,2976581,2978096,2979612,2981128,2982644,2984025,2985405,2986786,2988167,2989547,2990928,2992309,2993689,2995070,2996451,2997831,2999212,3000672,3002132,3003592,3005053,3006513,3007973,3009433,3010893,3012354,3013814,3015274,3016734,3018079,3019423,3020768,3022113,3023457,3024802,3026147,3027491,3028836,3030181,3031525,3032870,3034368,3035867,3037365,3038863,3040362,3041860,3043358,3044857,3046355,3047818,3049282,3050745,3052044,3053344,3054643,3055942,3057241,3058540,3059840,3061139,3062438,3063738,3065037,3066336,3067157,3067978,3068800,3069621,3070442,3071263,3072084,3072905,3073726,3074548,3075369,3076190,3077591,3078991,3080392,3081792,3083193,3084594,3085994,3087395,3088795,3090196,3091596,3092997,3094360,3095722,3097085,3098448,3099811,3101174,3102536,3103899,3105262,3106624,3107987,3109350,3110318,3111285,3112252,3113220,3114188,3115155,3116122,3117090,3118058,3119025,3119992,3120960,3121828,3122695,3123563,3124430,3125298,3126166,3127033,3127901,3128768,3129636,3130503,3131371,3132219,3133068,3133916,3134764,3135612,3136460,3137309,3138157,3139005,3139854,3140702,3141550,3142139,3142728,3143317,3143906,3144495,3145084,3145673,3146262,3146851,3147440,3148029,3148618,3149156,3149693,3150231,3150769,3151306,3151844,3152382,3152919,3153457,3153995,3154532,3155070,3155070,3155070,3155070,3155070,3155070,3155070,3155070,3155070,3155070,3155070,3155070,3155070,3155070,3155070,3155070,3155070,3155070
"Kansas",2688925,2690510,2692096,2693681,2694388,2695094,2695801,2696508,2697215,2697922,2698628,2699335,2700042,2700748,2701455,2702162,2703110,2704058,2705005,2705953,2706901,2707848,2708796,2709744,2710692,2711640,2712587,2713535,2714324,2715113,2715902,2716691,2717480,2718270,2719059,2719848,2720637,2721426,2722215,2723004,2723951,2724899,2725846,2726794,2727741,2728688,2729636,2730583,2731531,2732478,2733426,2734373,2735284,2736194,2737104,2738015,2738926,2739836,2740746,2741657,2742568,2743478,2744388,2745299,2746768,2748238,2749707,2751176,2752646,2754115,2755584,2757054,2758523,2759992,2761462,2762931,2764669,2766407,2768144,2769882,2771620,2773358,2775096,2776834,2778572,2780309,2782047,2783785,2785809,2787834,2789858,2791882,2793906,2795930,2797955,2799979,2802003,2804028,2806052,2808076,2810128,2812181,2814233,2816285,2818338,2820390,2822442,2824495,2826547,2828599,2830652,2832704,2834972,2837240,2839509,2841777,2844045,2846313,2848582,2850850,2853118,2854809,2856499,2858190,2859110,2860029,2860949,2861868,2862788,2863708,2864627,2865547,2866466,2867386,2868305,2869225,2870561,2871897,2873233,2874569,2875905,2877241,2878577,2879913,2881249,2882585,2883921,2885257,2885920,2886583,2887246,2887909,2888572,2889234,2889897,2890560,2891223,2891886,2892549,2893212,2893817,2894422,2895028,2895633,2896238,2896844,2897449,2898054,2898659,2899264,2899870,2900475,2901186,2901898,2902609,2903320,2904032,2904743,2905454,2906166,2906877,2907588,2908300,2909011,2909164,2909316,2909469,2909622,2909775,2909928,2910080,2910233,2910386,2910538,2910691,2910844,2910667,2910490,2910312,2910135,2909958,2909781,2909604,2909427,2909250,2909072,2908895,2908718,2908938,2909158,2909378,2909598,2909818,2910038,2910259,2910479,2910699,2910919,2911139,2911359,2911522,2911685,2911848,2912011,2912174,2912336,2912499,2912662,2912825,2912988,2913151,2913314,2913314,2913314,2913314,2913314,2913314,2913314,2913314,2913314,2913314,2913314,2913314,2913314,2913314,2913314,2913314,2913314,2913314
"Kentucky",4042193,4044469,4046745,4049021,4050614,4052206,4053799,4055391,4056984,4058576,4060169,4061762,4063354,4064947,4066539,4068132,4069944,4071756,4073568,4075380,4077192,4079004,4080815,4082627,4084439,4086251,4088063,4089875,4092150,4094424,4096699,4098973,4101248,4103522,4105797,4108072,4110346,4112621,4114895,4117170,4119581,4121992,4124403,4126814,4129225,4131636,4134046,4136457,4138868,4141279,4143690,4146101,4149154,4152208,4155261,4158315,4161368,4164422,4167475,4170528,4173582,4176635,4179689,4182742,4185783,4188825,4191866,4194908,4197949,4200990,4204032,4207073,4210115,4213156,4216198,4219239,4222358,4225478,4228597,4231717,4234836,4237956,4241075,4244194,4247314,4250433,4253553,4256672,4259439,4262206,4264974,4267741,4270508,4273275,4276042,4278809,4281576,4284344,4287111,4289878,4292144,4294411,4296677,4298943,4301210,4303476,4305742,4308009,4310275,4312541,4314808,4317074,4319551,4322028,4324505,4326982,4329459,4331936,4334413,4336890,4339367,4342305,4345243,4348181,4349984,4351788,4353591,4355394,4357198,4359001,4360804,4362608,4364411,4366214,4368018,4369821,4371198,4372575,4373952,4375329,4376706,4378084,4379461,4380838,4382215,4383592,4384969,4386346,4387872,4389398,4390924,4392450,4393976,4395502,4397029,4398555,4400081,4401607,4403133,4404659,4405466,4406274,4407082,4407889,4408696,4409504,4410312,4411119,4411926,4412734,4413542,4414349,4415318,4416287,4417256,4418225,4419194,4420162,4421131,4422100,4423069,4424038,4425007,4425976,4426993,4428010,4429028,4430045,4431062,4432079,4433096,4434113,4435130,4436148,4437165,4438182,4439356,4440530,4441704,4442877,4444051,4445225,4446399,4447573,4448746,4449920,4451094,4452268,4453008,4453749,4454489,4455230,4455970,4456710,4457451,4458191,4458932,4459672,4460413,4461153,4461696,4462240,4462783,4463326,4463870,4464413,4464956,4465500,4466043,4466586,4467130,4467673,4467673,4467673,4467673,4467673,4467673,4467673,4467673,4467673,4467673,4467673,4467673,4467673,4467673,4467673,4467673,4467673,4467673
"Louisiana",4469035,4469985,4470935,4471885,4472384,4472883,4473382,4473882,4474381,4474880,4475379,4475878,4476378,4476877,4477376,4477875,4479491,4481107,4482723,4484339,4485955,4487571,4489187,4490803,4492419,4494035,4495651,4497267,4499248,4501230,4503211,4505192,4507173,4509154,4511136,4513117,4515098,4517080,4519061,4521042,4523642,4526241,4528841,4531441,4534040,4536640,4539240,4541839,4544439,4547039,4549638,4552238,4554270,4556303,4558336,4560368,4562400,4564433,4566466,4568498,4570530,4572563,4574596,4576628,4553798,4530968,4508137,4485307,4462477,4439646,4416816,4393986,4371156,4348326,4325495,4302665,4308741,4314818,4320894,4326970,4333047,4339123,4345199,4351276,4357352,4363428,4369505,4375581,4380581,4385582,4390582,4395583,4400583,4405584,4410584,4415584,4420585,4425585,4430586,4435586,4440258,4444930,4449602,4454273,4458945,4463617,4468289,4472961,4477632,4482304,4486976,4491648,4496284,4500920,4505556,4510192,4514828,4519464,4524100,4528736,4533372,4537092,4540812,4544532,4547123,4549714,4552305,4554896,4557487,4560078,4562670,4565261,4567852,4570443,4573034,4575625,4577737,4579850,4581962,4584074,4586186,4588298,4590411,4592523,4594635,4596748,4598860,4600972,4602935,4604898,4606861,4608824,4610787,4612750,4614712,4616675,4618638,4620601,4622564,4624527,4626151,4627775,4629398,4631022,4632646,4634270,4635894,4637518,4639142,4640765,4642389,4644013,4645731,4647449,4649167,4650885,4652603,4654320,4656038,4657756,4659474,4661192,4662910,4664628,4665754,4666879,4668005,4669130,4670256,4671382,4672507,4673633,4674758,4675884,4677009,4678135,4677504,4676872,4676241,4675610,4674979,4674348,4673716,4673085,4672454,4671822,4671191,4670560,4669654,4668748,4667842,4666937,4666031,4665125,4664219,4663313,4662408,4661502,4660596,4659690,4658782,4657874,4656966,4656058,4655150,4654242,4653334,4652426,4651518,4650610,4649702,4648794,4648794,4648794,4648794,4648794,4648794,4648794,4648794,4648794,4648794,4648794,4648794,4648794,4648794,4648794,4648794,4648794,4648794
"Maine",1274779,1275543,1276308,1277072,1277790,1278509,1279227,1279945,1280664,1281382,1282100,1282819,1283537,1284255,1284974,1285692,1286548,1287403,1288259,1289115,1289970,1290826,1291682,1292537,1293393,1294249,1295104,1295960,1296839,1297719,1298598,1299478,1300357,1301236,1302116,1302995,1303875,1304754,1305634,1306513,1307111,1307709,1308307,1308905,1309503,1310100,1310698,1311296,1311894,1312492,1313090,1313688,1314113,1314538,1314963,1315388,1315813,1316238,1316662,1317087,1317512,1317937,1318362,1318787,1319190,1319592,1319995,1320398,1320800,1321203,1321606,1322008,1322411,1322814,1323216,1323619,1323904,1324189,1324474,1324759,1325044,1325330,1325615,1325900,1326185,1326470,1326755,1327040,1327329,1327618,1327907,1328196,1328485,1328774,1329064,1329353,1329642,1329931,1330220,1330509,1330432,1330356,1330279,1330203,1330126,1330050,1329973,1329896,1329820,1329743,1329667,1329590,1329453,1329317,1329180,1329044,1328907,1328771,1328634,1328498,1328361,1328117,1327873,1327629,1327684,1327738,1327793,1327847,1327902,1327956,1328011,1328066,1328120,1328175,1328229,1328284,1328238,1328192,1328145,1328099,1328053,1328006,1327960,1327914,1327868,1327822,1327775,1327729,1327752,1327776,1327799,1327822,1327846,1327869,1327892,1327916,1327939,1327962,1327986,1328009,1328218,1328426,1328635,1328844,1329052,1329261,1329470,1329678,1329887,1330096,1330304,1330513,1330325,1330138,1329950,1329763,1329575,1329388,1329200,1329012,1328825,1328637,1328450,1328262,1328517,1328771,1329026,1329280,1329535,1329790,1330044,1330299,1330553,1330808,1331062,1331317,1331592,1331866,1332141,1332415,1332690,1332964,1333239,1333514,1333788,1334063,1334337,1334612,1334982,1335353,1335723,1336094,1336464,1336834,1337205,1337575,1337946,1338316,1338687,1339057,1339487,1339916,1340346,1340775,1341205,1341634,1342064,1342494,1342923,1343353,1343782,1344212,1344212,1344212,1344212,1344212,1344212,1344212,1344212,1344212,1344212,1344212,1344212,1344212,1344212,1344212,1344212,1344212,1344212
"Maryland",5296647,5301443,5306238,5311034,5316339,5321644,5326948,5332253,5337558,5342862,5348167,5353472,5358777,5364082,5369386,5374691,5380166,5385641,5391116,5396590,5402065,5407540,5413015,5418490,5423964,5429439,5434914,5440389,5445046,5449702,5454359,5459016,5463672,5468329,5472986,5477642,5482299,5486956,5491612,5496269,5500491,5504713,5508936,5513158,5517380,5521602,5525824,5530046,5534268,5538491,5542713,5546935,5550722,5554509,5558296,5562083,5565870,5569657,5573444,5577231,5581018,5584805,5588592,5592379,5595295,5598210,5601126,5604042,5606957,5609873,5612789,5615704,5618620,5621536,5624451,5627367,5629537,5631707,5633877,5636047,5638217,5640388,5642558,5644728,5646898,5649068,5651238,5653408,5656038,5658668,5661297,5663927,5666557,5669186,5671816,5674446,5677076,5679706,5682335,5684965,5688750,5692536,5696321,5700106,5703891,5707676,5711462,5715247,5719032,5722818,5726603,5730388,5735184,5739980,5744776,5749572,5754368,5759164,5763960,5768756,5773552,5778583,5783614,5788645,5792876,5797107,5801338,5805570,5809801,5814032,5818263,5822494,5826726,5830957,5835188,5839419,5843383,5847348,5851312,5855277,5859241,5863206,5867170,5871134,5875099,5879063,5883028,5886992,5890008,5893025,5896041,5899057,5902074,5905090,5908106,5911123,5914139,5917155,5920172,5923188,5926029,5928870,5931712,5934553,5937394,5940236,5943077,5945918,5948759,5951600,5954442,5957283,5959640,5961996,5964353,5966709,5969066,5971422,5973779,5976136,5978492,5980849,5983205,5985562,5987042,5988522,5990002,5991482,5992962,5994442,5995923,5997403,5998883,6000363,6001843,6003323,6005035,6006747,6008459,6010171,6011883,6013596,6015308,6017020,6018732,6020444,6022156,6023868,6024862,6025857,6026852,6027846,6028840,6029835,6030830,6031824,6032818,6033813,6034808,6035802,6036625,6037448,6038272,6039095,6039918,6040741,6041564,6042387,6043210,6044034,6044857,6045680,6045680,6045680,6045680,6045680,6045680,6045680,6045680,6045680,6045680,6045680,6045680,6045680,6045680,6045680,6045680,6045680,6045680
"Massachusetts",6349364,6353277,6357191,6361104,6364148,6367192,6370236,6373281,6376325,6379369,6382413,6385457,6388502,6391546,6394590,6397634,6399265,6400896,6402527,6404158,6405789,6407420,6409051,6410682,6412313,6413944,6415575,6417206,6417653,6418099,6418546,6418992,6419439,6419886,6420332,6420779,6421225,6421672,6422118,6422565,6421708,6420851,6419994,6419137,6418280,6417423,6416566,6415709,6414852,6413995,6413138,6412281,6411532,6410782,6410033,6409284,6408535,6407786,6407036,6406287,6405538,6404788,6404039,6403290,6403856,6404422,6404988,6405555,6406121,6406687,6407253,6407819,6408386,6408952,6409518,6410084,6411874,6413663,6415453,6417242,6419032,6420822,6422611,6424401,6426190,6427980,6429769,6431559,6434676,6437794,6440911,6444028,6447146,6450263,6453380,6456498,6459615,6462732,6465850,6468967,6473021,6477075,6481128,6485182,6489236,6493290,6497344,6501398,6505452,6509505,6513559,6517613,6520948,6524283,6527618,6530953,6534289,6537624,6540959,6544294,6547629,6553855,6560081,6566307,6570247,6574186,6578126,6582066,6586005,6589945,6593885,6597824,6601764,6605704,6609643,6613583,6617702,6621820,6625938,6630057,6634176,6638294,6642412,6646531,6650650,6654768,6658886,6663005,6667198,6671390,6675582,6679775,6683968,6688160,6692352,6696545,6700738,6704930,6709122,6713315,6717422,6721528,6725635,6729742,6733849,6737956,6742062,6746169,6750276,6754382,6758489,6762596,6765232,6767868,6770504,6773140,6775776,6778412,6781048,6783684,6786320,6788956,6791592,6794228,6796676,6799125,6801573,6804021,6806470,6808918,6811366,6813815,6816263,6818711,6821160,6823608,6826623,6829638,6832653,6835668,6838683,6841698,6844714,6847729,6850744,6853759,6856774,6859789,6861693,6863597,6865500,6867404,6869308,6871212,6873116,6875020,6876924,6878827,6880731,6882635,6883457,6884280,6885102,6885924,6886747,6887569,6888391,6889214,6890036,6890858,6891681,6892503,6892503,6892503,6892503,6892503,6892503,6892503,6892503,6892503,6892503,6892503,6892503,6892503,6892503,6892503,6892503,6892503,6892503
