Organization Name,Letter URL,Reported Date,Date of Breach,End Date
Renaissance Philanthropic Solutions Group,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/RenaissancePhilanthropicSolutionsGroup.2018-10-18.pdf,10/18/2018,6/5/2018,6/13/2018
"Northwest Surgical Specialists, P.C. d/b/a Rebound Orthopedics & Neurosurgery",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/NorthwestSurgicalSpecialistsPCdbaReboundOrthopedicsNeurosurgery.2018-10-05.pdf,10/5/2018,5/22/2018,
Zenith American Solutions,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/ZenithAmericanSolutions.2018-10-02.pdf,10/2/2018,8/13/2018,
"Skagit Bancorp, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/SkagitBancorpInc.2018-09-11 %281%29.pdf,9/12/2018,6/12/2018,
Peaceful Valley Farm Supply,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/PeacefulValleyFarmSupplyInc.2018-09-12.pdf,9/11/2018,Unspecified,Unspecified
LILLEbaby,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/LILLEbaby.2018-08-29.pdf,8/29/2018,6/16/2018,7/18/2018
SHEIN,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/SHEIN.2018-10-11.pdf,8/22/2018,6/18/2018,8/18/2018
Cheddar's Scratch Kitchen,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/CheddarsScratchKitchen.2018-08-22.pdf,8/22/2018,11/3/2017,1/2/2018
Overlake Arthritis and Osteoporosis Center,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/OverlakeArthritisOsteoporosisCenter.2018-07-12.pdf,Unspecified,5/11/2018,
Colorado Bankers Life Insurance Company,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/ColoradoBankersLifeInsuranceCompany.2018-08-03.pdf,8/3/2018,3/28/2018,4/13/2018
Manduka (Update),https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/MandukaUpdate.2018-08-01.pdf,8/1/2018,2/22/2017,3/5/2018
Yale University,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/YaleUniversity.2018-07-27.pdf,7/27/2018,8-Apr,9-Jan
"TradeMotion, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/TradeMotionLLC.2018-07-25.pdf,7/25/2018,10/2017; 01/2018,18-May
"ComplyRight, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/ComplyRightInc.2018-07-25.pdf,7/13/2018,4/20/2018,5/22/2018
International Mission Board,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/InternationalMissionBoard.2018-07-06 %281%29.pdf,7/6/2018,4/11/2018,
"Coty, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/CotyInc.2018-07-06.pdf,7/6/2018,1/12/2018,2/8/2018
"Macy's, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Macy%27s.2018-07-02.pdf,7/1/2018,4/26/2018,6/12/2018
Northwest University,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/NorthwestUniversity.2018-06-29.pdf,6/29/2018,Unspecified ,Unspecified
"Terteling Company, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/TertelingCompanyInc.2018-06-23.pdf,6/23/2018,5/1/2018,
Manduka (Update),https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/MandukaUpdate.2018-06-08.pdf,6/8/2018,2/22/2017,3/5/2018
Transamerica Retirement Solutions,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Transamerica.2018-06-01.pdf,6/1/2018,Unspecified ,Unspecified
"Deli Management, Inc. (Jason's Deli)",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/DeliManagementIncUpdated.2018-05-22.pdf,5/22/2018,Unspecified ,Unspecified
Brinker International (Chilis),,5/18/2018,3/18/2018,4/18/2018
Corporation Service Company,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/CorporationServiceCompany.2018-05-17.pdf,5/17/2018,Unspecified ,Unspecified
"TaskRabbit, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/TaskRabbitInc.2018-05-09.pdf,5/9/2018,Unspecified ,Unspecified
H&R Block,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/HRBlock.2018-05-09.pdf,5/9/2018,Unspecified ,Unspecified
Global University,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Global University.2018-05-08.pdf,5/8/2018,12/31/2017,1/31/2018
Alaska Airlines,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/News/Press_Releases/AlaskaAirlines.2018.05-04.pdf,5/3/2018,10/1/2017,12/22/2017
"SunTrust Banks, Inc",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/SunTrustBanksInc.2018-05-04.pdf,5/2/2018,Unspecified ,Unspecified
Rail Europe North America,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/RailEuropeNorthAmericaInc.2018-05-7.pdf,4/30/2018,11/29/2017,2/16/2018
Hudson's Bay Company,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/HudsonBayCompany.2018-04-26.pdf,4/26/2018,7/1/2017,3/31/2018
Sears Holdings,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/SearsHoldings.2018-04-24.pdf,4/24/2018,9/27/2017,10/12/2017
Southwest Airlines Co.,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/SouthwestAirlinesCo.2018-04-20.pdf,4/20/2018,10/1/2017,12/22/2017
Best Buy Co Inc.,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/BestBuyCoInc.2018-04-13.pdf,4/13/2018,9/26/2017,10/12/2017
Inogen Inc. ,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/InogenInc.2018-04-13.pdf,4/13/2018,Unspecified ,Unspecified
"Delta Airlines, Inc. ",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/DeltaAirlinesInc.2018-04-11.pdf,4/11/2018,9/26/2017,10/12/2017
Manduka,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach Manduka.2018-03-27.pdf,3/27/2018,2/25/2018,
American Express Travel Related Services Company,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/AmericanExpressTravelRelatedServicesCompany.2018-03-22.pdf,3/22/2018,10/1/2017,12/22/2017
Orbitz,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/Orbitz.2018-03-20.pdf,3/20/2018,10/1/2017,12/22/2017
"Bronson Nutritionals, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/BronsonNutritionalsLLC.2018-03-19.pdf,3/19/2018,5/15/2017,1/30/2018
"Parker Staffing Services, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/ParkerStaffingServicesLLC.2018-03-26.pdf,3/15/2018,Unspecified ,Unspecified
ABM Industries Incorporated,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/ABMIndustriesIncorporated.2018-03-08.pdf,3/8/2018,Unspecified ,Unspecified
Preferred Hotels & Resorts,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/PreferredHotelsAndResorts.2018-03-02.pdf,3/2/2018,7/16/2018,11/17/2018
FastHealth Corporation,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach FastHealthCorporation.2018-02-28.PDF,2/27/2018,8/14/2017,8/18/2017
North 40 Outfitters,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach North40Outfitters.2018-02-23.pdf,2/23/2018,1/20/2017,1/29/2018
"PAR Electrical Contractors, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach PARElectricalContractorsInc.2018-02-05.PDF,2/5/2018,12/22/2017,
North Beach School District,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/NorthBeachSchoolDistrict.2018-03-08.pdf,2/1/2018,1/30/2017,
Zachary E. Adkins DDS,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/ZacharyAdkinsDDS.2018-01-30.pdf,1/25/2018,11/30/2017,
"Insight Sourcing Group Holdings, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach InsightSourcingGroupHoldings.2018-01-23.pdf,1/23/2018,11/30/2017,12/11/2017
"Guaranteed Rate, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach GuaranteedRate.2018-01-12.PDF,1/12/2018,6/9/2017,10/2/2017
"Deli Management, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach DeliManagementInc.2018-01-11.pdf,1/11/2018,6/8/2017,12/22/2017
"talentReef, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach talentReef 1-10-18.PDF,1/10/2018,11/29/2017,
Multnomah Athletic Club,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/MultnomahAthleticClub.2018-01-10.pdf,1/2/2018,12/2/2017,
"Forever 21, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach Forever 21 Inc.2017-12-28.PDF,12/28/2017,4/3/2017,11/18/2017
"TIO Networks USA, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach Tio Networks USA Inc.2017-12-28.pdf,12/22/2017,Unspecified,Unspecified
"LiveGlam, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/LiveGlamInc.2018-01-02.pdf,12/22/2017,4/25/2017,
"Combat Brands, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach Combat Brands LLC Update.2017-12-11.pdf,12/11/2017,7/1/2015,10/6/2017
JAM Paper & Envelope,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/JamPaperAndEnvelope.2017-12-01.pdf,12/1/2017,9/6/2017,
"Bulletproof 360, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach BulletProof360UPDATE.2017-11-27.pdf,11/27/2017,10/26/2016; 08/28/2017,05/30/2017; 9/5/2017
"The Medical College of Wisconsin, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach TheMedicalCollegeOfWisconsinInc.2017-11-17.pdf,11/17/2017,7/21/2017,7/28/2017
"Uber Technologies, Inc., Sample Notice",,11/21/2017,10/13/2016,11/15/2016
Western State Hospital,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/WesternStateHospital.2017-11-15.pdf,11/15/2017,9/20/2017,
Gallagher NAC,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/GallagherNAC.2017-11-13.pdf,11/13/2017,6/18/2017,9/19/2017
"Tween Brands, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach TweenBrandsInc.2017-11-03.pdf,11/3/2017,9/7/2017,
HumanGood,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach HumanGood.2017-10-30.pdf,10/30/2017,9/27/2017,
"Whole Foods Market Services, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/WholeFoodsMarketServicesInc.2017-10-20.pdf,10/20/2017,3/10/2017,9/28/2017
"Pizza Hut, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/PizzaHutLLC.2017-10-16.pdf,10/16/2017,10/1/2017,10/2/2017
Equifax Inc. (Update),https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/EquifaxUpdate.2017-10-12.pdf,10/12/2017,Unspecified,Unspecified
Catholic United Financial,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/CatholicUnitedFinancial.2017-10-06.pdf,10/6/2017,7/31/2017,
,,,8/26/2017,8/28/2017
,,,11/12/2016,
"Provo Craft & Novelty, Inc. ",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/ProvoCraftAndNoveltyIncDbaCricut.2017-10-06.pdf,10/6/2017,5/27/2017,7/12/2017
Tommie Copper Inc. ,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/TommieCopperInc.2017-10-06.PDF,10/6/2017,4/25/2017,8/29/2017
SONIC Corp. ,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/SonicCorp.2017-10-04.PDF,10/4/2017,Unspecified,Unspecified
"FlexShopper, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/FlexShopperLLC.2017-10-03.pdf,10/3/2017,Unspecified,Unspecified
The Online Traffic School,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/TheOnlineTrafficSchool.2017-09-29.pdf,9/29/2017,Unspecified,Unspecified
BSI Financial Services,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/ServiceOneIncDbaBSIFinancialServices.2017-09-28.pdf,9/29/2017,6/1/2017,
"W.W. Grainger, Inc. ",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/W.W.GraingerInc.2017-09-18.pdf,9/18/2017,8/23/2017,
Whatcom Land Title Co. ,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/WhatcomLandTitleCo.2017-09-16.pdf,9/16/2017,Unspecified,Unspecified
"Bulletproof 360, Inc. ",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Bulletproof360.2017-09-15.PDF,9/15/2017,10/26/2016,1/31/2017
Equifax Inc.,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/EquifaxInc.2017-09-07.PDF,9/7/2017,Unspecified,Unspecified
Timberland Bank,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/TimberlandBank.2017-08-31.pdf,8/31/2017,Unspecified,Unspecified
Avanti Markets Inc. (update),https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/AvantiMarketsIncUpdate.2017-08-30.pdf,8/30/2017,Unspecified,Unspecified
Green River Community College,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/GreenRiverCommunityCollege.2017-08-24.pdf,8/24/2017,12/16/2016,
Silver Cloud Inns & Hotels,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/SilverCloudInnsAndHotels.2017-08-03.pdf,8/3/2017,8/10/2016,3/9/2017
Noble House Hotels & Resorts,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/NobleHouseHotelsAndResorts.2017-07-28.pdf,7/28/2017,8/10/2016,3/9/2017
City of Port Angeles,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/CityOfPortAngeles.2017-07-27.pdf,7/25/2017,Unspecified,Unspecified
Avanti Markets Inc.,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/AvantiMarketsInc.2017-07-24.pdf,7/24/2017,Unspecified,Unspecified
Value Eyecare Network,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/ValueEyecareNetwork.2017-07-21.pdf,7/21/2017,Unspecified,Unspecified
Keller Williams Realty Inc.,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/KellerWilliamsRealtyInc.2017-07-18.pdf,7/18/2017,5/6/2017,5/10/2017
SBE ENT Holdings,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/SBE-ENTHoldingsLLC.2017-07-14.pdf,7/14/2017,8/10/2016,3/9/2017
"Two Roads Hospitality, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/TwoRoadsHospitalityLLC.2017-07-14.pdf,7/14/2017,8/10/2016,3/9/2017
Club Quarter Hotels,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/ClubQuartersHotels.2017-07-12.pdf,7/12/2017,8/10/2016,3/9/2017
Pacific Science Center,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach PacificScienceCenter 2017-07.pdf,7/10/2017,06/13/2017; 06/21/2017,
Four Seasons Hotels Limited,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/FourSeasonsHotelsLimited.2017-07-06.pdf,7/6/2017,8/10/2016,3/9/2017
Loews Hotels & Co.,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/LoewsHotelsAndCo.2017-07-05.PDF,7/5/2017,8/29/2016,3/9/2017
Preferred Hotel Group,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach PreferredHotelGroup 2017-06.pdf,6/30/2017,8/10/2016,3/9/2017
GOLFTEC,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/GOLFTEC.2017-05-03.pdf,6/22/2017,3/2/2017,7/15/2017
Caliber Home Loans,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/CaliberHomeLoans.2017-06-22.pdf,6/22/2017,Unspecified ,Unspecified
Home Point Financial Corporation,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/HomePointFinancialCorporation.2017-06-20.pdf,6/20/2017,Unspecified ,Unspecified
Washington State University ,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/WashingtonStateUniversity.2017-06-08.pdf,6/8/2017,Unspecified,Unspecified
"Airway Oxygen, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach AirwayOxygenInc 2017-06.pdf,6/6/2017,4/18/2017,
"GameStop, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/GameStopInc.2017-06-05.pdf,6/5/2017,8/10/2016,2/2/2017
BMO Harris Bank,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/BMOHarrisBankNA.2017-05-31.pdf,5/31/2017,5/15/2017,
"Kennewick Public Hospital District, dba Trios Health",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach Trios Health 2017-0526.pdf,5/26/2017,10/23/2013,3/31/2017
"Incipio, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/IncipioLLC.2017-05-24.pdf,5/24/2017,2/26/2016,12/5/2016
Zillow,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Zillow.2017-05-22.pdf,5/19/2017,5/9/2017,
"Nicopure Labs, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach Nicopure Labs LLC 2017-05-16.PDF,5/16/2017,Unspecified,Unspecified
Kuru Footwear,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/KuruFootwear.2017-05-15.PDF,5/15/2017,12/20/2016,3/3/2017
TALX Corporation,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach TALX Corporation.2017-05-15.pdf,5/15/2017,1/4/2016,3/29/2017
Brooks Brothers,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Internet_Safety/Breach Brooks Brothers 2017-05-12.pdf,5/12/2017,4/4/2016,3/1/2017
Indigo Wild,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Internet_Safety/Breach Indigo Wild 2017-05-12.PDF,5/12/2017,11/16/2016,4/17/2017
Seattle Indian Health Board,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/SeattleIndianHealthBoard.2017-05-10.pdf,5/9/2017,8/10/2016,
"Solera Holdings, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Internet_Safety/Breach Solera Holdings Inc 2017-05-05.pdf,5/5/2017,Early 2017,
Metro Parks Tacoma,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach Metro Parks.2017-05-04.pdf,5/4/2017,5/3/2017,
Hill Country Memorial Hospital,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach Hill Country Memorial Hospital.2017-05-03.pdf,4/25/2017,2/21/2017,2/22/2017
Seattle Housing Authority,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/SeattleHousingAuthority.2017-04-25.pdf,4/25/2017,Unspecified,
Pacific Lutheran University,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/PacificLutheranUniversity.2017-04-18.pdf,4/18/2017,1/23/2017,2/22/2017
"Combat Brands, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/CombatBrandsLLC.2014-04-14.pdf,4/14/2017,7/1/2015,2/23/2017
Six Continents Hotels,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/SixContinentsHotels%28IHG%29.2017-04-14.pdf,4/14/2017,9/29/2016,12/29/2016
Lake Kennedy McCulluch CPAs PS,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/LakeKennedyMcCulluchCPAsPS.2017-04-06.pdf,4/9/2017,1/30/2017,
Tempur-Pedic,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Tempur Pedic 2017-04-10.pdf,4/4/2017,2/16/2017,12/16/2017
"Easy Breathe, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/EasyBreatheInc.2017-03-27.pdf,3/27/2017,Unspecified,Unspecified
"Bulletproof 360, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Bulletproof.pdf,3/21/2017,10/26/2016,1/31/2017
People for People,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/PeopleForPeople.2017-03-17.pdf,3/17/2017,Unspecified,Unspecified
"Northwest Christian Schools, Inc. ",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/NorthwestChristianSchoolsInc.2017-03-16.pdf,3/16/2017,2/11/2017,
Bambeco Inc.,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/BambecoInc.2017-03-13.pdf,3/10/2017,2/16/2017,12/16/2016
prAna,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/prAna.2017-03-08.pdf,3/8/2017,12/14/2016,2/6/2017
Atlantic Cigar,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/AtlanticCigar.2017-03-13.pdf,3/8/2017,Unspecified,Unspecified
Russell Investments,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/RussellInvestments.2017-03-07.pdf,3/7/2017,Unspecified,Unspecified
West Music Company,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/WestMusicCompany.2017-03-06.PDF,3/6/2017,2/16/2017,12/16/2016
"Aptos, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/About_the_Office/AGO_Opinions/Pending_AGO_Opinions/AptosInc.2017-02-25.pdf,2/25/2017,2/16/2017,12/16/2016
BENCHMARK,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Benchmark.2017-02-24.pdf,2/24/2017,10/23/2016,1/1/2017
Roberts Hawaii,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/RobertsHawaii.2017-02-24.pdf,2/24/2017,7/30/2015,12/14/2016
"Pasco Rentals, Inc.",https://agportal-s3bucket.s3.amazonaws.com/Breach Pasco Rentals Inc 2017-02-24.pdf,2/24/2017,1/12/2017,
"Affy Tapple, LLC d/b/a Affy Tapple",https://agportal-s3bucket.s3.amazonaws.com/Breach AffyTapple 2017-02-24.PDF,2/24/2017,2/16/2017,12/16/2016
Mrs Prindables,https://agportal-s3bucket.s3.amazonaws.com/Breach MrsPrindables 2017-02-24.PDF,2/24/2017,2/16/2017,12/16/2016
Alpha Industries,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/AlphaIndustries.2017-02-25.pdf,2/25/2017,2/16/2017,12/16/2016
"Century, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/CenturyLLC.2017-02-25.pdf,2/25/2017,2/16/2017,12/16/2016
"Blue Mercury, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/BlueMercuryInc.2017-02-25.pdf,2/25/2017,2/16/2017,12/16/2016
