Organization Name,Letter URL,Reported Date,Date of Breach,End Date
City of Lacey,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/CityOfLacey.2019-11-15.pdf,11/15/2019,8/27/2019,10/28/2019
"Macy's, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Macy%27sInc.2019-11-14.pdf,11/14/2019,10/7/2019,10/15/2019
"Green Roads of Florida, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/GreenRoadsOfFloridaLLC.pdf,11/14/2019,7/9/2019,10/9/2019
"Solara Medical Supplies, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/SolaraMedicalSuppliesLLC.2019-12-13.pdf,11/13/2019,4/2/2019,6/20/2019
First Aid Beauty Limited,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/FirstAidBeautyLimited.2019-11-08.pdf,11/8/2019,4/15/2019,10/25/2019
"Nutraceutical Wellness, Inc. ",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/NutraceuticalWellnessIncDbaNutrafol.2019-10-16.pdf,10/16/2019,Unspecified ,Unspecified
"Eye Buy Direct, Inc. ",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/EyeBuyDirectInc.2019-10-15.pdf,10/15/2019,Unspecified ,Unspecified
Calibre CPA Group,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/CalibreCPAGroup.2019-10-10_1.pdf,10/10/2019,3/11/2019,5/7/2019
Toyota Financial Services,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/ToyotaFinancialServices.2019-10-03.pdf,10/3/2019,9/4/2019,
DoorDash Inc.,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/DoorDashInc.2019-09-27.pdf,9/26/2019,5/4/2019,
"Majoris Health Systems, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/MajorisHealthSystemsInc.2019-09-24.pdf,9/24/2019,Unspecified ,Unspecified
Amateur Athletic Union,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/AmateurAthleticUnion.2019-09-13.pdf,9/13/2019,10/1/2018,7/2/2019
Riggs Wealth Management (Update),https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/RiggsWealthManagementUpdated.2019-09-13.pdf,9/13/2019,6/14/2019,6/17/2019
Peoples Injury Network Northwest,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/PeoplesInjuryNetworkNorthwest.2019-09-12.pdf,9/12/2019,4/22/2019,
"Ascension Data & Analytics, LLC and Stanwich Mortgage Loan Trust (Update)",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/StanwichMortgageLoanTrustUpdated.2019-09-11.pdf,9/11/2019,2/18/2019,1/19/2019
"CafePress, Inc. ",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Regence.2019-08-16_0.pdf,9/4/2019,~02/19/2019,
"Creation Entertainment, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/CreationEntertainmentInc.2019-08-26.pdf,8/26/2019,2/1/2018,10/10/2018
Georgia Institute of Technology (Updated),https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/GeorgiaInstituteOfTechnologyUpdated.2019-08-16.pdf,8/16/2019,12/14/2018,3/22/2019
Regence,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Regence.2019-08-16.pdf,8/16/2019,7/25/2019,
Grays Harbor Community Hospital,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/GraysHarborCommunityHospital.2019-08-14.pdf,8/14/2019,Unspecified ,Unspecified
"Trusted Tours & Attractions, LLC",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/TrustedToursAndAttractionsLLC.2019-07-29.pdf,7/29/2019,3/24/2019,6/27/2019
Community Psychiatric Clinic,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/CommunityPsychiatricClinic.2019-07-27.pdf,7/27/2019,Unspecified,Unspecified
"Laboratory Medicine Consultants, LTD.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/LaboratoryMedicineConsultantsLtd.2019-07-24.pdf,7/24/2019,3/21/2019,
"Clinical Pahology Laboratories, Inc. ",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/ClinicalPathologyLaboraties.2019-07-15.pdf,7/15/2019,3/21/2019,
"Northwood, Inc.",https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/NorthwoodInc.2019-07-15.pdf,7/15/2019,05/03/2019; 05/06/2019,
Laboratory Corporation of America Holdings (LabCorp),https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/LaboratoryCorporationOfAmericaHoldings.2019-7-13.pdf,7/13/2019,8/1/2018,3/30/2019
