URL,Org Name,Reported Date,Update Notice,,,,,,,
https://ago.vermont.gov/blog/2020/07/31/us-restaurants-inc-updated-notice-of-data-breach-to-consumers/,US Restaurants Inc Updated,31-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/31/empire-golf-management-notice-of-data-breach-to-consumers/,Empire Golf Management,31-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/30/the-credit-pros-notice-of-data-breach-to-consumers/,The Credit Pros,30-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/29/healthcare-fiscal-management-notice-of-data-breach-to-consumers/,Healthcare Fiscal Management,29-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/28/front-rush-llc-notice-of-data-breach-to-consumers/,Front Rush LLC,28-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/28/otr-leasing-llc-notice-of-data-breach-to-consumers/,OTR Leasing LLC,28-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/27/braingenie-ck-12-foundation-notice-of-data-breach-to-consumers/,BrainGenie – CK-12 Foundation,27-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/27/select-express-logistics-notice-of-data-breach-to-consumers/,Select Express & Logistics,27-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/27/owens-ear-center-notice-of-data-breach-to-consumers/,Owens Ear Center,27-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/24/blum-shapiro-and-company-updated-notice-of-data-breach-to-consumers/,Blum Shapiro and Company Updated,24-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/24/wealth-enhancement-group-notice-of-data-breach-to-consumers/,Wealth Enhancement Group,24-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/22/yogafit-notice-of-data-breach-to-consumers/,YogaFit,22-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/21/us-restaurants-inc-notice-of-data-breach-to-consumers/,US Restaurants Inc,21-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/20/prisma-health-paperless-pay-notice-of-data-breach-to-consumers/,Prisma Health – Paperless Pay,20-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/20/american-public-works-association-notice-of-data-breach-to-consumers/,American Public Works Association,20-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/17/ply-gem-notice-of-data-breach-to-consumers-2/,Ply Gem,17-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/17/ply-gem-notice-of-data-breach-to-consumers/,Ply Gem,17-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/17/verigent-notice-of-data-breach-to-consumers/,Verigent,17-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/16/lorien-health-services-notice-of-data-breach-to-consumers/,Lorien Health Services,16-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/15/zeta-tau-alpha-notice-of-data-breach-to-consumers/,Zeta Tau Alpha,15-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/15/columbia-college-chicago-notice-of-data-breach-to-consumers/,Columbia College Chicago,15-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/14/attorney-general-donovan-issues-guidance-on-changes-to-data-breach-notification-law/,Attorney General Donovan Issues Guidance on Changes to Data Breach Notification Law,14-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/13/federal-home-loan-mortgage-corp-notice-of-data-breach-to-consumers/,Federal Home Loan Mortgage Corp,13-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/10/merani-hospitality-notice-of-data-breach-to-consumers/,Merani Hospitality,10-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/10/collabera-inc-notice-of-data-breach-to-consumers/,Collabera Inc,10-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/10/thomas-cuisine-notice-of-data-breach-to-consumers/,Thomas Cuisine,10-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/10/allegiance-title-company-notice-of-data-breach-to-consumers/,Allegiance Title Company,10-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/09/vermont-country-store-notice-of-data-breach-to-consumers/,Vermont Country Store,9-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/09/good-samaritan-hospital-notice-of-data-breach-to-consumers/,Good Samaritan Hospital,9-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/09/mcpherson-college-notice-of-data-breach-to-consumers/,McPherson College,9-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/08/eshel-aminov-partners-notice-of-data-breach-to-consumers/,Eshel Aminov & Partners,8-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/08/claires-stores-inc-notice-of-data-breach-to-consumers/,Claires Stores Inc,8-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/06/physicians-east-accu-copy-notice-of-data-breach-to-consumers/,Physicians East – Accu Copy,6-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/07/01/steel-partners-holdings-notice-of-data-breach-to-consumers/,Steel Partners Holdings,1-Jul-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/30/the-reserve-trust-company-notice-of-data-breach-to-consumers/,The Reserve Trust Company,30-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/30/edp-renewables-north-america-llc-notice-of-data-breach-to-consumers/,EDP Renewables North America LLC,30-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/26/bcycle-notice-of-data-breach-to-consumers/,BCycle,26-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/26/milford-regional-medical-center-paperlesspay-corporation-notice-of-data-breach-to-consumers/,Milford Regional Medical Center -PaperlessPay Corporation,26-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/25/lawyers-title-middle-peninsula-northern-neck-agency-inc-notice-of-data-breach-to-consumers/,Lawyers Title Middle Peninsula Northern Neck Agency Inc,25-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/24/cny-works-inc-notice-of-data-breach-to-consumers/,CNY Works Inc,24-Jun-20,,,,,,,,
https://ago.vermont.gov/blog/2020/06/23/eagle-community-credit-union-notice-of-data-breach-to-consumers/,Eagle Community Credit Union,23-Jun-20,,,,,,,,
